"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"非法手机号","6","test_create_invalid_phone","test_apis","2026-09-19","passed","2026-09-19","TestOrderCreate","test_orders","",""
"支付记录不存在","12","test_mock_pay_not_found","test_apis","2026-09-19","passed","2026-09-19","TestMockPay","test_payment","",""
"无效状态值","20","test_callback_invalid_status","test_apis","2026-09-19","passed","2026-09-19","TestPaymentCallback","test_payment","",""
"不存在的 SKU → 404","6","test_add_invalid_sku","test_apis","2026-09-19","passed","2026-09-19","TestCartAdd","test_cart","",""
"SKU 详情","14","test_detail","test_apis","2026-09-19","passed","2026-09-19","TestSKURead","test_goods","",""
"不存在的字母 — 返回空","6","test_filter_letter_empty_result","test_apis","2026-09-19","passed","2026-09-19","TestBrandRead","test_goods","",""
"名称 < 2 字符 → 400","8","test_create_name_too_short","test_apis","2026-09-19","passed","2026-09-19","TestSPUWrite","test_goods","",""
"正常修改密码（用临时账号，不影响 test111）","1961","test_update_user_password","test_apis","2026-09-19","passed","2026-09-19","TestUpdateUserPassword","test_users","",""
"切换上下架","528","test_toggle_sale","test_apis","2026-09-19","passed","2026-09-19","TestSPUWrite","test_goods","",""
"更新店铺设置","18","test_update_shop_settings","test_apis","2026-09-19","passed","2026-09-19","TestShopSettings","test_users","",""
"点赞不存在的评价","6","test_like_not_found","test_apis","2026-09-19","passed","2026-09-19","TestReviewLike","test_reviews","",""
"列表只返回顶级分类，每个带 children","11","test_list_returns_top_level_only","test_apis","2026-09-19","passed","2026-09-19","TestCategoryRead","test_goods","",""
"未登录","6","test_mock_pay_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestMockPay","test_payment","",""
"空购物车 → data=[]","5","test_list_empty","test_apis","2026-09-19","passed","2026-09-19","TestCartRead","test_cart","",""
"模拟支付成功","25","test_mock_pay_success","test_apis","2026-09-19","passed","2026-09-19","TestMockPay","test_payment","",""
"","7","test_create_not_seller","test_apis","2026-09-19","passed","2026-09-19","TestSPUWrite","test_goods","",""
"未发货不能确认收货","18","test_complete_wrong_status","test_apis","2026-09-19","passed","2026-09-19","TestOrderComplete","test_orders","",""
"未登录","5","test_like_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestReviewLike","test_reviews","",""
"恢复库存","16","test_restore_stock","test_apis","2026-09-19","passed","2026-09-19","TestSKUWrite","test_goods","",""
"","4","test_update_user_info_no_token","test_apis","2026-09-19","passed","2026-09-19","TestUpdateUserInfo","test_users","",""
"查看我的评价","8","test_mine_success","test_apis","2026-09-19","passed","2026-09-19","TestMyReviews","test_reviews","",""
"领取优惠券不存在","6","test_claim_cf_coupon_no","test_apis","2026-09-19","passed","2026-09-19","TestCoupons","test_coupons","",""
"创建 SKU","10","test_create","test_apis","2026-09-19","passed","2026-09-19","TestSKUWrite","test_goods","",""
"","9","test_bind_phone","test_apis","2026-09-19","passed","2026-09-19","TestBindPhone","test_users","",""
"子分类 level >= 父级 level","12","test_children_have_correct_level","test_apis","2026-09-19","passed","2026-09-19","TestCategoryRead","test_goods","",""
"品牌详情","13","test_detail","test_apis","2026-09-19","passed","2026-09-19","TestBrandRead","test_goods","",""
"回调不存在的 pay_no → 404","7","test_callback_pay_no_not_found","test_apis","2026-09-19","passed","2026-09-19","TestPaymentCallback","test_payment","",""
"非退款状态查退款详情","16","test_refund_detail_wrong_status","test_apis","2026-09-19","passed","2026-09-19","TestRefundDetail","test_orders","",""
"空商品列表","5","test_create_empty_items","test_apis","2026-09-19","passed","2026-09-19","TestOrderCreate","test_orders","",""
"带关键词搜索","5","test_suggest_with_query","test_apis","2026-09-19","skipped","2026-09-19","TestSearchSuggest","test_search","",""
"领取优惠券重复领取","8","test_claim_cf_coupon","test_apis","2026-09-19","skipped","2026-09-19","TestCoupons","test_coupons","",""
"删除不存在的项 → 404","8","test_delete_not_exist","test_apis","2026-09-19","passed","2026-09-19","TestCartDelete","test_cart","",""
"","6","test_update_preferences_no_token","test_apis","2026-09-19","passed","2026-09-19","TestPreferences","test_users","",""
"清空后列表为空","18","test_clear","test_apis","2026-09-19","passed","2026-09-19","TestCartClear","test_cart","",""
"获取地址列表","7","test_address_list","test_apis","2026-09-19","passed","2026-09-19","TestAddress","test_users","",""
"未登录","6","test_detail_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestOrderDetail","test_orders","",""
"普通用户访问 → 403","6","test_shop_settings_not_seller","test_apis","2026-09-19","passed","2026-09-19","TestShopSettings","test_users","",""
"设置不存在的地址为默认 → 404","6","test_address_default_not_exist","test_apis","2026-09-19","passed","2026-09-19","TestAddress","test_users","",""
"创建一级分类 — 返回对象","9","test_create_top_level","test_apis","2026-09-19","passed","2026-09-19","TestCategoryWrite","test_goods","",""
"","5","test_get_preferences_no_token","test_apis","2026-09-19","passed","2026-09-19","TestPreferences","test_users","",""
"删除分类 → 204 + 确认已删","23","test_delete_category","test_apis","2026-09-19","passed","2026-09-19","TestCategoryWrite","test_goods","",""
"商品下的 SKU 列表","17","test_spu_skus","test_apis","2026-09-19","passed","2026-09-19","TestSPURead","test_goods","",""
"创建品牌","9","test_create","test_apis","2026-09-19","passed","2026-09-19","TestBrandWrite","test_goods","",""
"创建子分类 — level 自动+1","18","test_create_sub_category","test_apis","2026-09-19","passed","2026-09-19","TestCategoryWrite","test_goods","",""
"搜索无关键词 — 服务端返回 400 或分页空结果","5","test_search_empty_keyword","test_apis","2026-09-19","passed","2026-09-19","TestSPURead","test_goods","",""
"删除图片","16","test_delete_image","test_apis","2026-09-19","passed","2026-09-19","TestImageWrite","test_goods","",""
"查单个分类详情 — 直接返回对象","17","test_detail_by_id","test_apis","2026-09-19","passed","2026-09-19","TestCategoryRead","test_goods","",""
"
        完整电商购买流程:
        0. 卖家创建商品（SPU + SKU）
        1. 注册新用户
        2. 登录
        3. 搜索商品
        4. 加入购物车
        5. 创建订单
        6. 支付
        7. 卖家发货
        8. 确认收货
        9. 评价商品
        ","989","test_full_purchase_flow","test_apis","2026-09-19","passed","2026-09-19","TestGoldenPath","test_e2e","",""
"","5","test_create_no_token","test_apis","2026-09-19","passed","2026-09-19","TestSPUWrite","test_goods","",""
"","355","test_login_username_not_exist","test_apis","2026-09-19","passed","2026-09-19","TestLogin","test_users","",""
"取消全选","24","test_unselect_all","test_apis","2026-09-19","passed","2026-09-19","TestCartSelectAll","test_cart","",""
